"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","270","","org.example.CreateCourierTest","","org.example.CreateCourierTest","","courierCreationPositiveTest",""
"passed","","","154","","org.example.ParametrizedOrderCreationTests","","org.example.ParametrizedOrderCreationTests","","incorrectCourierCreationTest[0]",""
"passed","","","2372","","org.example.CreateCourierTest","","org.example.CreateCourierTest","","sameLoginCourierCreationTest",""
"passed","","","226","","org.example.ParametrizedOrderCreationTests","","org.example.ParametrizedOrderCreationTests","","incorrectCourierCreationTest[1]",""
"passed","","","122","","org.example.ParametrizedCourierCreationNegativeTests","","org.example.ParametrizedCourierCreationNegativeTests","","incorrectCourierCreationTest[1]",""
"passed","","","337","","org.example.LoginCourierTest","","org.example.LoginCourierTest","","checkCourierPositiveLoginTest",""
"passed","","","171","","org.example.LoginCourierTest","","org.example.LoginCourierTest","","checkNonExistedCourierLoginTest",""
"passed","","","3238","","org.example.GetOrdersTest","","org.example.GetOrdersTest","","getOrdersListTest",""
"passed","","","184","","org.example.ParametrizedOrderCreationTests","","org.example.ParametrizedOrderCreationTests","","incorrectCourierCreationTest[3]",""
"passed","","","181","","org.example.ParametrizedCourierCreationNegativeTests","","org.example.ParametrizedCourierCreationNegativeTests","","incorrectCourierCreationTest[0]",""
"passed","","","163","","org.example.ParametrizedOrderCreationTests","","org.example.ParametrizedOrderCreationTests","","incorrectCourierCreationTest[2]",""
"passed","","","420","","org.example.ParametrizedCourierLoginNegativeTests","","org.example.ParametrizedCourierLoginNegativeTests","","incorrectCourierLoginTest[1]",""
"broken","","","60403","","org.example.ParametrizedCourierLoginNegativeTests","","org.example.ParametrizedCourierLoginNegativeTests","","incorrectCourierLoginTest[0]",""
"passed","","","284","","org.example.LoginCourierTest","","org.example.LoginCourierTest","","checkUnmatchedCredentialsCourierLoginTest",""
